 ,Label,Area,Mean,StdDev,Min,Max,BX,BY,Width,Height
115,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0090-0890,400,9.068,2.047,4,15,880,80,20,20
116,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0090-0910,400,7.062,2.198,2,13,900,80,20,20
117,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0090-0930,400,8.055,2.939,2,18,920,80,20,20
118,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0090-0950,400,8.700,2.542,3,18,940,80,20,20
119,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0090-0970,400,7.143,2.585,1,16,960,80,20,20
120,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0090-0990,400,7.890,1.598,4,13,980,80,20,20
121,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0090-1010,360,7.786,2.344,3,13,1000,80,20,20
122,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0087-1030,222,8.932,2.259,4,18,1020,80,20,14
123,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0085-1050,167,8.994,2.940,2,16,1040,80,20,11
124,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0088-1070,244,7.893,2.630,3,17,1060,80,20,17
125,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0090-1090,393,7.178,2.093,3,14,1080,80,20,20
126,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0090-1110,400,6.255,2.071,2,11,1100,80,20,20
127,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0090-1130,400,6.242,2.286,1,12,1120,80,20,20
128,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0090-1150,400,6.555,1.982,3,13,1140,80,20,20
129,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0090-1170,400,5.765,1.750,2,12,1160,80,20,20
130,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0090-1190,400,6.452,2.060,2,14,1180,80,20,20
131,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0090-1210,400,6.875,1.639,3,12,1200,80,20,20
132,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0090-1230,400,7.555,2.154,3,14,1220,80,20,20
133,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0090-1250,366,8.372,2.134,3,16,1240,80,20,20
134,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0092-1266,127,7.157,1.739,4,11,1260,84,12,16
135,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0105-0138,19,6.053,1.715,4,9,137,100,3,11
136,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0110-0150,394,6.254,1.695,2,12,140,100,20,20
137,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0110-0170,400,5.548,1.953,2,12,160,100,20,20
138,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0110-0190,400,6.110,1.822,3,12,180,100,20,20
139,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0110-0210,400,6.360,1.857,2,11,200,100,20,20
140,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0110-0230,400,5.973,1.858,2,10,220,100,20,20
141,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0110-0250,400,6.335,1.836,3,13,240,100,20,20
